race,series,track,aliases
NHRA Nationals,nhra,Charlotte Motor Speedway,
AAA Texas NHRA Fall Nationals,nhra,Texas Motorplex,
AAA Insurance NHRA Midwest Nationals,nhra,Gateway International Raceway,
Auto-Plus NHRA Nationals,nhra,Maple Grove Raceway,
NHRA Las Vegas Nationals,nhra,Las Vegas Motor Speedway,
Automobile Club of Southern California NHRA Finals,nhra,Auto Club Raceway at Pomona,
